genes
AKT1
AKT2
ATM
BCL2
BIK
BIRC2
BRAF
BRCA1
BRCA2
CASP2
CASP3
CASP8
CASP9
CD24
CD44
CDC25A
CDC25B
CDC25C
CDK1
CDK2
CHEK1
CHEK2
CHUK
CLSPN
CTNNB1
DAPK1
DIABLO
DPYD
EGFR
EPHA3
EPHB2
ERBB3
ERBB4
FADD
GSK3A
GSK3B
MAPK3
MAPK1
MCL1
NFKBIA
IKBKB
KRAS
KRT20
MAP2K1
MAP2K2
MAPK1
MAPK14
MAPK3
MAPKAPK2
MAP2K1
MAP2K2
MDM2
MDM4
RELA
NOTCH1
NOTCH3
NRAS
PARP1
PIK3CA
PKMYT1
RAD51
RPS6
SMAD1
SMAD2
SMAD4
TGFBR2
TP53
TP63
TP73
VIM
WEE1
XIAP
YAP1
